NN,NOM STATION,EXPLOITANT,LOCALITE,FREQUENCE
92,RFM,RADIO FUTURS MEDIAS,FATICK,94.3
93,RFM,RADIO FUTURS MEDIAS,DIOURBEL,92.4
94,RFM,RADIO FUTURS MEDIAS,TOUBA MBACKE,98.4
95,RFM,RADIO FUTURS MEDIAS,KOLDA,93.2
96,RFM,RADIO FUTURS MEDIAS,SEDHIOU,99.1
97,RTS,RTS,ZIGUINCHOR VILLE,90.1
98,RTS DIOURBEL,RTS,DIOURBEL,96.7
99,RTS KIDIRA,RTS,KIDIRA,106.3
100,RTS MATAM FM,RTS,OUROSSOGUI (MATAM),105.5
101,RTS RANEROU,RTS,RANEROU,99.7
102,RTS REGIONALE KIDIRA,RTS,KIDIRA,91.9
103,RTS REGIONALE KOUMPENTOUM,RTS,KOUMPENTOUM,96.6
104,RTS REGIONALE MBOUMBA,RTS,MBOUMBA,97.2
105,RTS REGIONALE SALEMATA,RTS,SALEMATA,88.6
106,RTS REGIONALE SARAYA,RTS,SARAYA,91.4
107,RTS SALEMATA,RTS,SALEMATA,95.3
108,RTS SARAYA,RTS,SARAYA,102.8
109,RTS TAMBA-GOUDIRY,RTS,GOUDIRY,96.4
110,RTS/ TOUBA FM,RTS,TOUBA - MBACKE,99.2
111,RTS/DAKAR FM,RTS,DAKAR,94.5
112,RTS/MATAM RANEROU,RTS,RANEROU,90.1
113,RTS/NATIONALE,RTS,DAKAR,95.7
114,RTS/NATIONALE,RTS,THIES VILLE,96.9
115,RTS/NATIONALE,RTS,KAOLACK VILLE,103
116,RTS/NATIONALE,RTS,TAMBA VILLE,102
117,RTS/NATIONALE,RTS,KEDOUGOU,94.6
118,RTS/NATIONALE,RTS,BAKEL,95.9
119,RTS/NATIONALE,RTS,KOUMPENTOUM,89.7
120,RTS/NATIONALE,RTS,GOUDIRY,91.1
121,RTS/NATIONALE,RTS,KOLDA VILLE,100
122,RTS/NATIONALE,RTS,VELINGARA,99
123,RTS/NATIONALE,RTS,ST LOUIS VILLE,91.9
124,RTS/NATIONALE,RTS,NDIOUM,92.7
125,RTS/NATIONALE,RTS,LOUGA VILLE,95
126,RTS/NATIONALE,RTS,LINGUERE,92.1
127,RTS/NATIONALE,RTS,ZIGUINCHOR VILLE,95.2
128,RTS/NATIONALE,RTS,OUROSSOGUI,96.5
129,RTS/REGIONALE,RTS,THIES VILLE,100.5
130,RTS/REGIONALE,RTS,KAOLACK VILLE,97.9
131,RTS/REGIONALE,RTS,TAMBA VILLE,92
132,RTS/REGIONALE,RTS,KEDOUGOU,100
133,RTS/REGIONALE,RTS,BAKEL,107.3
134,RTS/REGIONALE,RTS,KOLDA VILLE,92.2
135,RTS/REGIONALE,RTS,SEDHIOU,92.9
136,RTS/REGIONALE,RTS,FATICK VILLE,92.8
137,RTS/REGIONALE,RTS,ST LOUIS VILLE,96.3
138,RTS/REGIONALE,RTS,RICHARD - TOLL,89.6
139,RTS/REGIONALE,RTS,PODOR,100.6
140,RTS/REGIONALE,RTS,NDIOUM,94.9
141,RTS/REGIONALE,RTS,LOUGA VILLE,88.7
142,RTS/REGIONALE,RTS,LINGUERE,89
143,RTS/REGIONALE,RTS,ZIGUINCHOR VILLE,98.9
144,RTS/REGIONALE,RTS,DIOURBEL VILLE,100.9
145,RTS/RSI,RTS,DAKAR,92.5
146,RTS/RSI,RTS,THIES VILLE,94.9
147,RTS/RSI,RTS,KAOLACK VILLE,107
148,RTS/RSI,RTS,TAMBA VILLE,88.1
149,RTS/RSI,RTS,KEDOUGOU,97.7
150,RTS/RSI,RTS,BAKEL,90.1
151,RTS/RSI,RTS,KOLDA VILLE,100.2
152,RTS/RSI,RTS,VELINGARA,89.1
153,RTS/RSI,RTS,ST LOUIS VILLE,90.1
154,RTS/RSI,RTS,NDIOUM,98.4
155,RTS/RSI,RTS,LOUGA VILLE,101.8
156,RTS/RSI,RTS,ZIGUINCHOR VILLE,101.7
157,RTS/RSI,RTS,OUROSSOGUI,89.1
158,RTS/RSI KAFFRINE,RTS,KAFFRINE,101
159,RTS/RSI KOUMPENTOUM,RTS,KOUMPENTOUM,99.7
160,RTS/RSI LINGUERE,RTS,LINGUERE,89.5
161,RTS/RSI RANEROU,RTS,RANEROU,104.1
162,RTS/RSI-FATICK,RTS,FATICK,87.7
163,RTS/RSI-GOUDIRY,RTS,GOUDIRY,102.3
164,RTS-FATICK,RTS,FATICK,89.4
165,RTS-KAFFRINE,RTS,KAFFRINE,101.8
166,RTS-KAFFRINE,RTS,KAFFRINE,90.6
167,RTS-KEDOUGOU,RTS,KEDOUGOU,89.2
168,RTS-KIDIRA,RTS,KIDIRA,90.1
169,RTS-MBACKE,RTS,DIOURBEL,107.3
170,RTS-RICHARD TOLL,RTS,SAINT LOUIS,92.5
171,RTS-SEDHIOU,RTS,SEDHIOU,102.8
172,RTS-SEDHIOU,RTS,SEDHIOU,100.5
173,RTS-SEDHIOU,RTS,SEDHIOU,92.9
174,SANOSSY FM,GROUPE SANOSSY SARL,DAKAR,98
175,SAPHIR FM,SARAH CENTER SOS SANTE,DAKAR,96.6
176,SAPHIR FM,SARAH CENTER SOS SANTE,FATICK,105.5
177,SAPHIR FM,SARAH CENTER SOS SANTE,DIOURBEL,102.6
178,SAPHIR FM,SARAH CENTER SOS SANTE,DIOURBEL,89.1
179,SAPHIR FM,SARAH CENTER SOS SANTE,THIES,95.5
180,SOPI FM,GROUPE SODI MEDIAS,DAKAR,99.6
181,SOXNA FM,GROUPE EXCAF TELECOM,DAKAR,99.9
182,SUD FM,GROUPE SUD COMMUNICATION,DAKAR,98.5
183,SUD FM,GROUPE SUD COMMUNICATION,TAMBACOUNDA,97.5
184,SUD FM,GROUPE SUD COMMUNICATION,DIOURBEL,94.1
185,SUD FM,GROUPE SUD COMMUNICATION,KAOLACK,94.6
186,SUD FM,GROUPE SUD COMMUNICATION,KOLDA,95.4
187,SUD FM,GROUPE SUD COMMUNICATION,MATAM,98.4
188,SUD FM,GROUPE SUD COMMUNICATION,DIOURBEL,91.2
189,SUD FM,GROUPE SUD COMMUNICATION,THIES,106.4
190,SUD FM,GROUPE SUD COMMUNICATION,SAINT LOUIS,93.9
191,SUD FM,GROUPE SUD COMMUNICATION,DAKAR,91.7
192,SUD FM,GROUPE SUD COMMUNICATION,SEDHIOU,96.7
193,SUD FM,GROUPE SUD COMMUNICATION,SAINT LOUIS,93.2
194,SUD FM,GROUPE SUD COMMUNICATION,TAMBACOUNDA,98.5
195,SUD FM,GROUPE SUD COMMUNICATION,THIES,102.2
196,SUD FM,GROUPE SUD COMMUNICATION,ZIGUINCHOR,95.6
197,TIVAOUANE FM,MINBAR COMMUNICATIONS,DAKAR,90.5
198,TIVAOUANE FM,MINBAR COMMUNICATIONS,THIES,103.6
199,TIVAOUANE FM,MINBAR COMMUNICATIONS,THIES,91.4
200,TIVAOUANE FM,MINBAR COMMUNICATIONS,LOUGA,95.4
201,TIVAOUANE FM,MINBAR COMMUNICATIONS,ZIGUINCHOR,89.6
202,TOP FM HORIZONS,GLOBAL MEDIA COMMUNICATION,DAKAR,97.8
203,TRADE FM,FONDATION TRADE POINT SENEGAL,DAKAR,88.1
204,TSL,GOLD MEDIA AFRIQUE,SAINT LOUIS,102.8
205,TSL,GOLD MEDIA AFRIQUE,DAKAR,104.4
206,URBAN FM,BAATINE AGENCY SURL,DAKAR,97.1
207,VIBE RADIO,ADI SENEGAL,DAKAR,102.3
208,WAL FADJIRI,WAL FADJIRI,DAKAR,93.6
209,WAL FADJIRI,WAL FADJIRI,DAKAR,99
210,WAL FADJIRI,WAL FADJIRI,THIES,88.8
211,WAL FADJIRI,WAL FADJIRI,MBACKE (TOUBA),89.3
212,WAL FADJIRI,WAL FADJIRI,PIKINE,96.3
213,WAL FADJIRI,WAL FADJIRI,KAOLACK,101.4
214,WAL FADJIRI,WAL FADJIRI,ZIGUINCHOR,102.4
215,WAL FADJIRI,WAL FADJIRI,LOUGA,98.4
216,WAL FADJIRI,WAL FADJIRI,MATAM,102.4
217,WAL FADJIRI,WAL FADJIRI,TAMBACOUNDA,99.3
218,XEW XEW FM,SAMBA NDIAYE,DAKAR,91.3
219,XEW XEW FM,SAMBA NDIAYE,MBOUR,95.2
220,ZIG FM,GROUPE BEN COMMUNICATION,ZIGUINCHOR,100.8
221,ZIK FM,GROUPE D. MEDIAS,THIES,94.6
222,ZIK FM,GROUPE D. MEDIAS,KAOLACK,95.4
223,ZIK FM,GROUPE D. MEDIAS,TAMBA,90.6
224,ZIK FM,GROUPE D. MEDIAS,SAINT LOUIS,92.4
225,ZIK FM,GROUPE D. MEDIAS,ZIGUINCHOR,88
226,ZIK FM,GROUPE D. MEDIAS,MATAM,90.4
227,ZIK FM,GROUPE D. MEDIAS,MBACKE,93.8
228,ZIK FM,GROUPE D. MEDIAS,DAKAR,89.7
